initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 30 to 26
Edge from 30 to 28
Edge from 30 to 29
Edge from 31 to 30
Edge from 32 to 30
Edge from 32 to 31
Edge from 33 to 34
Edge from 33 to 32
Edge from 34 to 20
Edge from 34 to 30
Edge from 34 to 31
Edge from 34 to 32
Edge from 35 to 36
Edge from 35 to 232
Edge from 35 to 233
Edge from 35 to 20
Edge from 35 to 21
Edge from 35 to 30
Edge from 35 to 31
Edge from 35 to 32
Edge from 35 to 34
Edge from 36 to 232
Edge from 36 to 233
Edge from 36 to 20
Edge from 36 to 21
Edge from 36 to 22
Edge from 36 to 24
Edge from 36 to 30
Edge from 36 to 31
Edge from 36 to 32
Edge from 36 to 34
Edge from 37 to 36
Edge from 38 to 36
Edge from 38 to 37
Edge from 39 to 36
Edge from 39 to 37
Edge from 39 to 38
Edge from 40 to 232
Edge from 40 to 233
Edge from 40 to 20
Edge from 40 to 36
Edge from 40 to 39
Edge from 41 to 40
Edge from 42 to 41
Edge from 43 to 42
Edge from 44 to 41
Edge from 44 to 42
Edge from 44 to 43
Edge from 45 to 44
Edge from 46 to 45
Edge from 47 to 45
Edge from 47 to 46
Edge from 48 to 45
Edge from 48 to 46
Edge from 48 to 47
Edge from 49 to 48
Edge from 50 to 49
Edge from 51 to 50
Edge from 52 to 50
Edge from 52 to 51
Edge from 53 to 50
Edge from 53 to 52
Edge from 54 to 50
Edge from 54 to 51
Edge from 54 to 52
Edge from 54 to 53
Edge from 55 to 54
Edge from 56 to 50
Edge from 56 to 54
Edge from 56 to 55
Edge from 57 to 50
Edge from 57 to 51
Edge from 57 to 52
Edge from 57 to 54
Edge from 57 to 55
Edge from 57 to 56
Edge from 58 to 50
Edge from 58 to 51
Edge from 58 to 52
Edge from 58 to 53
Edge from 58 to 54
Edge from 58 to 55
Edge from 58 to 56
Edge from 58 to 57
Edge from 59 to 58
Edge from 60 to 59
Edge from 61 to 59
Edge from 61 to 60
Edge from 62 to 59
Edge from 62 to 60
Edge from 62 to 61
Edge from 63 to 59
Edge from 63 to 60
Edge from 63 to 62
Edge from 63 to 64
Edge from 63 to 65
Edge from 63 to 68
Edge from 64 to 65
Edge from 65 to 66
Edge from 65 to 67
Edge from 67 to 66
Edge from 68 to 64
Edge from 68 to 65
Edge from 68 to 66
Edge from 68 to 67
Edge from 68 to 69
Edge from 68 to 70
Edge from 68 to 71
Edge from 68 to 104
Edge from 68 to 105
Edge from 68 to 106
Edge from 68 to 107
Edge from 68 to 108
Edge from 68 to 109
Edge from 68 to 110
Edge from 68 to 111
Edge from 68 to 112
Edge from 68 to 113
Edge from 68 to 114
Edge from 68 to 115
Edge from 69 to 70
Edge from 69 to 71
Edge from 69 to 109
Edge from 69 to 110
Edge from 69 to 111
Edge from 69 to 112
Edge from 69 to 113
Edge from 69 to 114
Edge from 69 to 115
Edge from 70 to 71
Edge from 71 to 72
Edge from 71 to 103
Edge from 71 to 104
Edge from 71 to 105
Edge from 71 to 106
Edge from 71 to 107
Edge from 71 to 108
Edge from 71 to 109
Edge from 71 to 110
Edge from 71 to 111
Edge from 71 to 112
Edge from 71 to 113
Edge from 71 to 114
Edge from 71 to 115
Edge from 72 to 73
Edge from 72 to 81
Edge from 72 to 88
Edge from 72 to 89
Edge from 72 to 97
Edge from 72 to 98
Edge from 72 to 99
Edge from 72 to 100
Edge from 72 to 101
Edge from 72 to 102
Edge from 72 to 103
Edge from 72 to 104
Edge from 72 to 105
Edge from 72 to 106
Edge from 72 to 107
Edge from 72 to 108
Edge from 72 to 109
Edge from 72 to 110
Edge from 72 to 111
Edge from 72 to 112
Edge from 72 to 113
Edge from 72 to 114
Edge from 72 to 115
Edge from 73 to 74
Edge from 73 to 75
Edge from 73 to 76
Edge from 73 to 77
Edge from 73 to 81
Edge from 73 to 88
Edge from 73 to 89
Edge from 73 to 97
Edge from 73 to 98
Edge from 73 to 99
Edge from 73 to 100
Edge from 73 to 101
Edge from 73 to 102
Edge from 73 to 103
Edge from 73 to 104
Edge from 73 to 105
Edge from 73 to 106
Edge from 73 to 108
Edge from 73 to 109
Edge from 73 to 110
Edge from 73 to 112
Edge from 73 to 113
Edge from 73 to 114
Edge from 73 to 115
Edge from 74 to 75
Edge from 74 to 76
Edge from 74 to 77
Edge from 74 to 81
Edge from 74 to 88
Edge from 74 to 98
Edge from 74 to 99
Edge from 74 to 100
Edge from 74 to 101
Edge from 74 to 102
Edge from 74 to 103
Edge from 74 to 104
Edge from 74 to 105
Edge from 74 to 106
Edge from 74 to 108
Edge from 74 to 109
Edge from 74 to 110
Edge from 74 to 112
Edge from 74 to 113
Edge from 74 to 114
Edge from 74 to 115
Edge from 75 to 76
Edge from 75 to 77
Edge from 75 to 81
Edge from 75 to 99
Edge from 75 to 100
Edge from 75 to 101
Edge from 75 to 102
Edge from 75 to 103
Edge from 75 to 104
Edge from 75 to 105
Edge from 75 to 106
Edge from 75 to 108
Edge from 75 to 109
Edge from 75 to 110
Edge from 75 to 112
Edge from 75 to 113
Edge from 75 to 115
Edge from 76 to 77
Edge from 76 to 104
Edge from 76 to 105
Edge from 76 to 106
Edge from 76 to 108
Edge from 76 to 109
Edge from 76 to 110
Edge from 76 to 112
Edge from 76 to 113
Edge from 76 to 115
Edge from 77 to 78
Edge from 77 to 79
Edge from 77 to 80
Edge from 77 to 81
Edge from 77 to 101
Edge from 77 to 102
Edge from 77 to 103
Edge from 77 to 104
Edge from 77 to 105
Edge from 77 to 106
Edge from 77 to 108
Edge from 77 to 109
Edge from 77 to 110
Edge from 77 to 112
Edge from 77 to 113
Edge from 78 to 79
Edge from 78 to 80
Edge from 80 to 79
Edge from 81 to 78
Edge from 81 to 80
Edge from 81 to 82
Edge from 81 to 83
Edge from 81 to 85
Edge from 81 to 86
Edge from 81 to 87
Edge from 81 to 88
Edge from 81 to 98
Edge from 81 to 99
Edge from 81 to 100
Edge from 81 to 101
Edge from 81 to 102
Edge from 81 to 103
Edge from 81 to 104
Edge from 81 to 105
Edge from 81 to 106
Edge from 81 to 108
Edge from 81 to 109
Edge from 81 to 110
Edge from 81 to 112
Edge from 81 to 113
Edge from 82 to 83
Edge from 82 to 85
Edge from 82 to 86
Edge from 82 to 87
Edge from 83 to 84
Edge from 83 to 85
Edge from 83 to 86
Edge from 83 to 87
Edge from 84 to 85
Edge from 86 to 84
Edge from 86 to 85
Edge from 87 to 84
Edge from 87 to 86
Edge from 88 to 82
Edge from 88 to 83
Edge from 88 to 84
Edge from 88 to 85
Edge from 88 to 86
Edge from 88 to 87
Edge from 88 to 89
Edge from 88 to 97
Edge from 88 to 98
Edge from 88 to 99
Edge from 88 to 100
Edge from 88 to 101
Edge from 88 to 102
Edge from 88 to 103
Edge from 88 to 104
Edge from 88 to 105
Edge from 88 to 106
Edge from 88 to 108
Edge from 88 to 109
Edge from 88 to 110
Edge from 88 to 112
Edge from 89 to 90
Edge from 89 to 91
Edge from 89 to 92
Edge from 89 to 94
Edge from 89 to 95
Edge from 89 to 96
Edge from 89 to 97
Edge from 89 to 98
Edge from 89 to 99
Edge from 89 to 100
Edge from 89 to 101
Edge from 89 to 102
Edge from 89 to 103
Edge from 89 to 104
Edge from 89 to 105
Edge from 89 to 106
Edge from 89 to 109
Edge from 90 to 91
Edge from 90 to 92
Edge from 90 to 94
Edge from 90 to 95
Edge from 90 to 96
Edge from 90 to 97
Edge from 90 to 98
Edge from 90 to 99
Edge from 90 to 100
Edge from 90 to 101
Edge from 90 to 102
Edge from 90 to 103
Edge from 90 to 104
Edge from 90 to 105
Edge from 91 to 92
Edge from 91 to 95
Edge from 91 to 96
Edge from 91 to 97
Edge from 91 to 98
Edge from 91 to 99
Edge from 91 to 100
Edge from 91 to 101
Edge from 91 to 102
Edge from 92 to 93
Edge from 92 to 94
Edge from 92 to 95
Edge from 92 to 97
Edge from 92 to 98
Edge from 92 to 99
Edge from 92 to 100
Edge from 92 to 101
Edge from 93 to 94
Edge from 93 to 95
Edge from 93 to 97
Edge from 93 to 98
Edge from 93 to 99
Edge from 94 to 95
Edge from 94 to 98
Edge from 95 to 96
Edge from 95 to 97
Edge from 95 to 98
Edge from 97 to 96
Edge from 98 to 96
Edge from 98 to 97
Edge from 99 to 94
Edge from 99 to 95
Edge from 99 to 96
Edge from 99 to 97
Edge from 99 to 98
Edge from 99 to 100
Edge from 101 to 93
Edge from 101 to 94
Edge from 101 to 95
Edge from 101 to 96
Edge from 101 to 99
Edge from 101 to 100
Edge from 102 to 92
Edge from 102 to 93
Edge from 102 to 94
Edge from 102 to 95
Edge from 102 to 96
Edge from 102 to 99
Edge from 102 to 101
Edge from 103 to 91
Edge from 103 to 92
Edge from 103 to 93
Edge from 103 to 94
